id,year,value1,dmflag1,qcflag1,dsflag1,value2,dmflag2,qcflag2,dsflag2,value3,dmflag3,qcflag3,dsflag3,value4,dmflag4,qcflag4,dsflag4,value5,dmflag5,qcflag5,dsflag5,value6,dmflag6,qcflag6,dsflag6,value7,dmflag7,qcflag7,dsflag7,value8,dmflag8,qcflag8,dsflag8,value9,dmflag9,qcflag9,dsflag9,value10,dmflag10,qcflag10,dsflag10,value11,dmflag11,qcflag11,dsflag11,value12,dmflag12,qcflag12,dsflag12
USH00137161,1996,-422,a, , ,76, , , ,499, , , ,1416, , , ,1828, , , ,2647, , , ,2740, , , ,2671,c, , ,2201,c, , ,1767,b, , ,147, , , ,-472, , , 
USH00137161,1997,-570, , , ,-41, , , ,783, , , ,1301, , , ,1843,a, , ,2884, , , ,2887,b, , ,2699,d, , ,2517,a, , ,1815, , , ,342, , , ,57, , , 
USH00137161,1998,-221,c, , ,348, , , ,326,e, , ,1512,a, , ,2523,g, , ,2432,a, , ,2856, , , ,2811,E, , ,2762,g, , ,1781,d, , ,928, , , ,414, , , 
USH00137161,1999,-492,a, , ,418, , , ,812, , , ,1438, , , ,2087,e, , ,2583,E, , ,3025, , , ,2695, , , ,2365,d, , ,1902,b, , ,1413,b, , ,218, , , 
USH00137161,2000,-87, , , ,514, , , ,1211,b, , ,1690,a, , ,2376,g, , ,2620,a, , ,2747, , , ,2828,b, , ,2632,b, , ,1855, , , ,364,b, , ,-855, , , 
USH00137161,2001,-211, , , ,-449,a, , ,280,b, , ,1785, , , ,2110, , , ,2560,b, , ,2901,a, , ,2829,e, , ,2167,a, , ,1610,I, ,1,1543,a, , ,380, , , 
USH00137161,2002,299, , , ,344, , , ,445,c, , ,1506,d, , ,2000,a, , ,2866, , , ,3035,a, , ,2682,a, , ,2418, , , ,1245, , , ,632,b, , ,452,c, , 
USH00137161,2003,-232, , , ,-49,b, , ,707, , , ,1693, , , ,1955, , , ,2487,f, , ,2807,b, , ,2907,a, , ,2311,a, , ,1934,b, , ,626, , , ,98,a, , 
USH00137161,2004,-313,a, , ,-216, , , ,995, , , ,1808, , , ,2109, , , ,2460, , , ,2643,b, , ,2472,b, , ,2621,E,X, ,1716, , , ,975,a, , ,162, , , 
USH00137161,2005,-412, , , ,387, , , ,818, , , ,1824, , , ,1992, , , ,2723, , , ,2921,a, , ,2684, , , ,2613, , , ,1806,a, , ,999,a, , ,-433,a, , 
USH00137161,2006,389, , , ,175, , , ,727, , , ,1854, , , ,2177, , , ,2739, , , ,2989,e, , ,2684, , , ,2045, , , ,1448,a, , ,965,E, , ,373, , , 
USH00137161,2007,-234, , , ,-527, , , ,992,a, , ,1402, , , ,2385, , , ,2742, , , ,2946, , , ,2766, , , ,2411, , , ,1830, , , ,842,a, , ,-378, , , 
USH00137161,2008,-492, , , ,-381,a, , ,443, , , ,1247, , , ,2039, , , ,2588,a, , ,2783,a, , ,2667, , , ,2305, , , ,1582, , , ,706, , , ,-353, , , 
USH00137161,2009,-564, , , ,234, , , ,844,a, , ,1449, , , ,2163, , , ,2539, , , ,2529, , , ,2527, , , ,2379, , , ,1100, , , ,1203, , , ,-392, , , 
USH00137161,2010,-766,a, , ,-456, , , ,747, , , ,1982,a, , ,2159, , , ,2625,a, , ,2820, , , ,2841, , , ,2273,E, , ,2008,E, , ,819, , , ,-327,a, , 
USH00137161,2011,-566,a, , ,-91, , , ,581,a, , ,1425,b, , ,2094, , , ,2587, , , ,3001, , , ,2746, , , ,2220,a, , ,1957, , , ,988,a, , ,259, , , 
USH00137161,2012,236,a, , ,345,a, , ,1729, , , ,1842, , , ,2515, , , ,2773, , , ,3266, , , ,2853, , , ,2491, , , ,1574, , , ,1062, , , ,196,a, , 
USH00137161,2013,-109, , , ,62, , , ,281, , , ,1170,a, , ,1995,a, , ,2493, , , ,2820, , , ,2870, , , ,2603, , , ,1627,b, , ,660, , , ,-315, , , 
USH00137161,2014,-308, , , ,-359, , , ,449, , , ,1573,a, , ,2165,a, , ,2623, , , ,2506, , , ,2536, , , ,2196,b, , ,1747,a, , ,363, , , ,61, , , 
USH00137161,2015,-71, , , ,-436, , , ,1121, , , ,1742, , , ,2130,b, , ,2620,a, , ,2733,a, , ,2530,a, , ,2599, , , ,1810,a, , ,1114,a, , ,341, , , 
USH00137161,2016,-371, , , ,174, , , ,1162, , , ,1638, , , ,2121, , , ,2949, , , ,2766, , , ,2703, , , ,2453,d, , ,1851, , , ,1423,a, , ,-41, , , 
USH00137161,2017,-105, , , ,671, , , ,782, , , ,1638, , , ,2072,a, , ,2888, , , ,3008, , , ,2533, , , ,2547,a, , ,1755, , , ,762, , , ,82, , , 
USH00137161,2018,-302,d, , ,-190, , , ,716, , , ,1017, , , ,2531,a, , ,2800, , , ,2799,a, , ,2698, , , ,2468, , , ,1569,g, , ,362, , , ,105, , , 
USH00137161,2019,-339, , , ,-528, , , ,431,a, , ,1592,a, , ,1906,b, , ,2646,a, , ,2831,a, , ,2562, , , ,2479,a, , ,1380, , , ,480, , , ,330,c, , 
USH00137161,2020,-212, , , ,93, , , ,983, , , ,1535,a, , ,1932, , , ,2890, , , ,3011, , , ,2945,a, , ,2365,c, , ,1349, , , ,1273,a, , ,275,a, , 
USH00137161,2021,59, , , ,-762, , , ,1185, , , ,1627, , , ,2046, , , ,2978, , , ,2811, , , ,2799, , , ,2593, , , ,1870, , , ,978, , , ,520, , , 
USH00137161,2022,-187,E, , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , 
